epoch,Coarse_prediction_output_layer_accuracy,Coarse_prediction_output_layer_loss,Final_output_loss,Fine_prediction_output_layer_accuracy,Fine_prediction_output_layer_loss,loss,val_Coarse_prediction_output_layer_accuracy,val_Coarse_prediction_output_layer_loss,val_Final_output_loss,val_Fine_prediction_output_layer_accuracy,val_Fine_prediction_output_layer_loss,val_loss
0,0.9969499707221985,0.005234139040112495,0.03935103490948677,0.9964333176612854,0.006800034549087286,0.005400719586759806,0.9944000244140625,0.010765062645077705,0.04775674641132355,0.9915000200271606,0.009379669092595577,0.01065126620233059
1,0.996833324432373,0.0051889121532440186,0.038868289440870285,0.9940833449363708,0.009250199422240257,0.006703475024551153,0.9969000220298767,0.006061195395886898,0.046557165682315826,0.9908999800682068,0.011054100468754768,0.00792272761464119
2,0.9976999759674072,0.004260358400642872,0.03828486055135727,0.9961666464805603,0.006080493796616793,0.005156040657311678,0.9958000183105469,0.005346046295017004,0.04572327062487602,0.9944999814033508,0.008793504908680916,0.007030497770756483
3,0.9974166750907898,0.004580832086503506,0.03798316419124603,0.9971333146095276,0.004936445504426956,0.004759094677865505,0.9966999888420105,0.005121141672134399,0.04576956108212471,0.9945999979972839,0.007119573187083006,0.006049388088285923
4,0.9976666569709778,0.004182441160082817,0.03783320263028145,0.9979833364486694,0.003445843467488885,0.003936543595045805,0.9962000250816345,0.004909134469926357,0.04519578069448471,0.9954000115394592,0.006198912393301725,0.005389300175011158
5,0.9977166652679443,0.00433837017044425,0.03741203248500824,0.9982500076293945,0.0032117723021656275,0.004015135578811169,0.9954000115394592,0.005447159055620432,0.04480511322617531,0.9948999881744385,0.006141160614788532,0.005676145665347576
6,0.9978166818618774,0.004214022774249315,0.03696874901652336,0.998449981212616,0.0028301882557570934,0.0038472102023661137,0.9954000115394592,0.006150290835648775,0.04500601813197136,0.9936000108718872,0.007575218100100756,0.006564287468791008
7,0.9976833462715149,0.004192412365227938,0.03693823888897896,0.99836665391922,0.0028626574203372,0.0038605923764407635,0.9966999888420105,0.005596383474767208,0.044733159244060516,0.9939000010490417,0.005943404044955969,0.005706815980374813
8,0.9976333379745483,0.0043613724410533905,0.036796096712350845,0.9983833432197571,0.003200993174687028,0.004075298085808754,0.9962000250816345,0.006520174443721771,0.04480541869997978,0.9930999875068665,0.007627218030393124,0.006827714387327433
9,0.9978833198547363,0.004023836459964514,0.03617846965789795,0.9983333349227905,0.003166159614920616,0.0038216635584831238,0.9962999820709229,0.005636655725538731,0.04369530454277992,0.9944999814033508,0.006069094408303499,0.005765723530203104
10,0.9980499744415283,0.003677483880892396,0.0359685979783535,0.9985499978065491,0.0029421537183225155,0.0034860128071159124,0.996399998664856,0.004741673823446035,0.04392499849200249,0.9948999881744385,0.005752508528530598,0.005046667531132698
11,0.9980666637420654,0.0035118511877954006,0.03573761135339737,0.9987999796867371,0.002375392010435462,0.003220106242224574,0.9962000250816345,0.005014924798160791,0.04256374388933182,0.9944000244140625,0.005957039073109627,0.005288909189403057
12,0.9983500242233276,0.003211661707609892,0.035303015261888504,0.9990333318710327,0.001986369490623474,0.0029376475140452385,0.9962000250816345,0.004945253487676382,0.04254657030105591,0.9957000017166138,0.005176989361643791,0.005018908064812422
13,0.9983166456222534,0.003126775147393346,0.03511133790016174,0.9991999864578247,0.0018700137734413147,0.0028581710066646338,0.996999979019165,0.004616349935531616,0.0426141731441021,0.9955000281333923,0.005349340848624706,0.004801335744559765
14,0.9982666373252869,0.0033841626718640327,0.03502276539802551,0.9991666674613953,0.0021550420206040144,0.003164108609780669,0.9965999722480774,0.005233525764197111,0.04203302785754204,0.9944000244140625,0.0056056249886751175,0.005323333665728569
15,0.9985166788101196,0.0031457487493753433,0.034904662519693375,0.9991499781608582,0.0018349599558860064,0.0029077287763357162,0.9965000152587891,0.0049670361913740635,0.041702572256326675,0.9954000115394592,0.005013546906411648,0.004994414746761322
16,0.9983833432197571,0.002814705716446042,0.0344117172062397,0.9994833469390869,0.0015324694104492664,0.002545076422393322,0.9962000250816345,0.0047506834380328655,0.04158974438905716,0.9951000213623047,0.005483405198901892,0.0049322075210511684
17,0.9986000061035156,0.002739282324910164,0.03414968028664589,0.9994166493415833,0.0012928477954119444,0.0025558050256222486,0.9970999956130981,0.004305304028093815,0.0412885844707489,0.9954000115394592,0.004777614027261734,0.004388835281133652
18,0.9986500144004822,0.002590478165075183,0.03388151526451111,0.9995999932289124,0.0010921485954895616,0.002347912872210145,0.9973999857902527,0.004299649503082037,0.041020747274160385,0.994700014591217,0.005209737922996283,0.004474845714867115
19,0.9987333416938782,0.0024982087779790163,0.033566366881132126,0.9996333122253418,0.0009662327356636524,0.002316162921488285,0.9975000023841858,0.003888029372319579,0.040730077773332596,0.9950000047683716,0.004889530595391989,0.004035616759210825
20,0.9988999962806702,0.0024128241930156946,0.03354010358452797,0.999750018119812,0.0008466867730021477,0.002230459125712514,0.9966999888420105,0.004387761000543833,0.04045804589986801,0.9954000115394592,0.004649620037525892,0.004438889212906361
21,0.9991666674613953,0.002280343323945999,0.03322792798280716,0.9996833205223083,0.0008310443954542279,0.0021480147261172533,0.9970999956130981,0.004142418969422579,0.040136221796274185,0.9955000281333923,0.0044812303967773914,0.004194971639662981
22,0.9990833401679993,0.0020753166172653437,0.03320322558283806,0.9997166395187378,0.0010043701622635126,0.001919968519359827,0.9972000122070312,0.003958767279982567,0.04033631458878517,0.9951000213623047,0.004739650525152683,0.0041015734896063805
23,0.9992499947547913,0.00210120202973485,0.033034346997737885,0.9997833371162415,0.0008096286910586059,0.0019438518211245537,0.9969000220298767,0.0038391307462006807,0.039834994822740555,0.9941999912261963,0.005175707396119833,0.00403596693649888
24,0.9993666410446167,0.0018854184309020638,0.0328855961561203,0.9998833537101746,0.0006845336174592376,0.0017494300846010447,0.9970999956130981,0.004610797856003046,0.039993710815906525,0.9944999814033508,0.005008888430893421,0.004678708966821432
25,0.9992166757583618,0.00199362775310874,0.03276080638170242,0.9997833371162415,0.0006919902516528964,0.001899312250316143,0.9957000017166138,0.00448834802955389,0.04029780253767967,0.9948999881744385,0.004954729229211807,0.004545557778328657
26,0.9992833137512207,0.0019102898659184575,0.03262249007821083,0.9998000264167786,0.0007263628649525344,0.0017818760825321078,0.9966999888420105,0.0038189219776540995,0.03938358277082443,0.9955999851226807,0.004350858740508556,0.0039013016503304243
27,0.9992333054542542,0.0018708996940404177,0.032471008598804474,0.9998166561126709,0.000697330804541707,0.0017425899859517813,0.9976000189781189,0.0036514110397547483,0.03959844261407852,0.9955999851226807,0.004502709023654461,0.003773556789383292
28,0.9994000196456909,0.001754515222273767,0.03233031928539276,0.9998666644096375,0.0005508572794497013,0.001641318667680025,0.9970999956130981,0.0036915556993335485,0.03928608447313309,0.9951000213623047,0.00449711736291647,0.0037953434512019157
29,0.9994166493415833,0.0016921082278713584,0.03226406127214432,0.9997833371162415,0.0005734960432164371,0.0015955851413309574,0.9973000288009644,0.003772496711462736,0.039159733802080154,0.9955999851226807,0.004284367896616459,0.0038413528818637133
30,0.9995166659355164,0.0016317707486450672,0.0320826917886734,0.999833345413208,0.0005310865235514939,0.0014746933011338115,0.9975000023841858,0.003694131737574935,0.039024922996759415,0.995199978351593,0.004420147277414799,0.0038254500832408667
31,0.9994500279426575,0.0015835328958928585,0.031993117183446884,0.999833345413208,0.0005391458980739117,0.0014452377799898386,0.9965000152587891,0.0038840332999825478,0.03888019546866417,0.9954000115394592,0.004119000397622585,0.0039360676892101765
32,0.9995666742324829,0.0015078764408826828,0.03200178220868111,0.9998666644096375,0.0004600309766829014,0.0013853205600753427,0.9973000288009644,0.0033839442767202854,0.038853444159030914,0.9958000183105469,0.004247867502272129,0.0035152907948940992
33,0.9994500279426575,0.0014725381042808294,0.03193226084113121,0.9998666644096375,0.0004428289830684662,0.0013505377573892474,0.996399998664856,0.0038426658138632774,0.03877341374754906,0.9952999949455261,0.004614539910107851,0.003962996881455183
34,0.9994666576385498,0.0014726179651916027,0.031820982694625854,0.9998166561126709,0.00044257979607209563,0.001376486150547862,0.9972000122070312,0.0036389685701578856,0.03880111873149872,0.9957000017166138,0.0044428566470742226,0.003743418026715517
35,0.9994999766349792,0.001416170853190124,0.031647052615880966,0.9998833537101746,0.00037414513644762337,0.0012785273138433695,0.9970999956130981,0.003682247828692198,0.03847779333591461,0.995199978351593,0.004625837318599224,0.003837976837530732
36,0.999666690826416,0.0013578447978943586,0.03158976137638092,0.9999333620071411,0.00034249667078256607,0.0012669540010392666,0.9972000122070312,0.0036298653576523066,0.03825213760137558,0.9958000183105469,0.0041663614101707935,0.003703189082443714
37,0.9996166825294495,0.0012775741051882505,0.03148116543889046,0.9999499917030334,0.0003018954012077302,0.0012040514266118407,0.9976000189781189,0.0033538509160280228,0.03869953006505966,0.9955999851226807,0.0040669916197657585,0.0034362999722361565
38,0.9994999766349792,0.0013932512374594808,0.031455401331186295,0.9998499751091003,0.00034189369762316346,0.0013439323520287871,0.9969000220298767,0.003803551895543933,0.038394417613744736,0.9948999881744385,0.0044111646711826324,0.0038580375257879496
39,0.9996166825294495,0.0012444212334230542,0.031381454318761826,0.9998999834060669,0.00031089005642570555,0.0011377729242667556,0.9976999759674072,0.0033244991209357977,0.03812268376350403,0.9958000183105469,0.004345112480223179,0.003474968718364835
40,0.9995999932289124,0.0012245533289387822,0.03126181662082672,0.9998999834060669,0.0003213333839084953,0.0011353881563991308,0.9965000152587891,0.0038134425412863493,0.038002967834472656,0.9955999851226807,0.004311258438974619,0.0038879585918039083
41,0.999666690826416,0.0011774993035942316,0.03131546825170517,0.9999499917030334,0.00022845847706776112,0.0010871579870581627,0.9970999956130981,0.0034287956077605486,0.037996940314769745,0.9952999949455261,0.004404235165566206,0.0035544196143746376
