epoch,Coarse1_prediction_output_layer_accuracy,Coarse1_prediction_output_layer_loss,Coarse2_prediction_output_layer_accuracy,Coarse2_prediction_output_layer_loss,Final_output_loss,Fine_prediction_output_layer_accuracy,Fine_prediction_output_layer_loss,loss,val_Coarse1_prediction_output_layer_accuracy,val_Coarse1_prediction_output_layer_loss,val_Coarse2_prediction_output_layer_accuracy,val_Coarse2_prediction_output_layer_loss,val_Final_output_loss,val_Fine_prediction_output_layer_accuracy,val_Fine_prediction_output_layer_loss,val_loss
0,0.3771972060203552,0.48818209767341614,0.21475476026535034,0.5776267051696777,0.825009286403656,0.1180180162191391,0.6253798604011536,0.5413352251052856,0.4404999911785126,nan,0.3093999922275543,nan,0.9891654253005981,0.20479999482631683,nan,nan
1,0.45215216279029846,0.3993241786956787,0.29835835099220276,0.499070405960083,0.8239926695823669,0.2067667692899704,0.5781198143959045,0.4693816602230072,0.4952000081539154,nan,0.31380000710487366,nan,0.9888747334480286,0.2542000114917755,nan,nan
2,0.4912912845611572,0.3754943311214447,0.34032031893730164,0.4775049686431885,0.8202592730522156,0.27271270751953125,0.5445727109909058,0.4458302855491638,0.5532000064849854,nan,0.3492000102996826,nan,0.9881158471107483,0.3133000135421753,nan,nan
3,0.5220019817352295,0.35722604393959045,0.3799399435520172,0.4586758315563202,0.8201097846031189,0.32230231165885925,0.5195606350898743,0.4264260232448578,0.5293999910354614,nan,0.34869998693466187,nan,0.984114944934845,0.3352000117301941,nan,nan
4,0.5390190482139587,0.3475986123085022,0.40460461378097534,0.4466269314289093,0.8143601417541504,0.3593994081020355,0.5003257393836975,0.4142994284629822,0.5386999845504761,nan,0.438400000333786,nan,0.9748284220695496,0.38830000162124634,nan,nan
5,0.5573974251747131,0.33503082394599915,0.43049049377441406,0.4339808523654938,0.8070531487464905,0.39693692326545715,0.4842390716075897,0.4009452760219574,0.6040999889373779,nan,0.4223000109195709,nan,0.9585868120193481,0.4228000044822693,nan,nan
6,0.5594794750213623,0.33373647928237915,0.4378778636455536,0.4279947578907013,0.7551802396774292,0.4211411476135254,0.47187578678131104,0.3957400619983673,0.5928000211715698,nan,0.4189999997615814,nan,0.8486141562461853,0.4138999879360199,nan,nan
7,0.5713313221931458,0.32819369435310364,0.45523524284362793,0.4195016920566559,0.6514005661010742,0.4482482373714447,0.45798298716545105,0.3872477114200592,0.6191999912261963,nan,0.4659000039100647,nan,0.7687093615531921,0.4431000053882599,nan,nan
8,0.58246248960495,0.319984495639801,0.4724324345588684,0.40905287861824036,0.6266376376152039,0.4747547507286072,0.4438296854496002,0.3770086169242859,0.6287999749183655,nan,0.48489999771118164,nan,0.7724891304969788,0.4722999930381775,nan,nan
9,0.5921521782875061,0.3154829442501068,0.4865265190601349,0.40224796533584595,0.6129513382911682,0.49985986948013306,0.4322397708892822,0.3702954649925232,0.6362000107765198,nan,0.5109000205993652,nan,0.7868144512176514,0.48840001225471497,nan,nan
10,0.5939940214157104,0.31365349888801575,0.49697697162628174,0.3978748917579651,0.608721911907196,0.5196996927261353,0.4226802587509155,0.36611655354499817,0.6229000091552734,nan,0.508899986743927,nan,0.7578689455986023,0.48980000615119934,nan,nan
11,0.5966566801071167,0.3112665116786957,0.5014213919639587,0.3938020169734955,0.5945490002632141,0.5398398637771606,0.414216548204422,0.3617573082447052,0.6470999717712402,nan,0.5454999804496765,nan,0.7161958813667297,0.5180000066757202,nan,nan
12,0.6045445203781128,0.3077223002910614,0.5157757997512817,0.38778236508369446,0.5966641902923584,0.5623824000358582,0.4035879373550415,0.356014609336853,0.6445000171661377,nan,0.5198000073432922,nan,0.7309593558311462,0.5171999931335449,nan,nan
13,0.6122322082519531,0.3045307695865631,0.5256256461143494,0.3820381760597229,0.5856578946113586,0.5784784555435181,0.39460471272468567,0.350691556930542,0.6462000012397766,nan,0.5327000021934509,nan,0.7156513929367065,0.5217000246047974,nan,nan
14,0.6130730509757996,0.3025197982788086,0.5306306481361389,0.37932664155960083,0.5768873691558838,0.5907507538795471,0.3886500298976898,0.3478262722492218,0.661899983882904,nan,0.5285999774932861,nan,0.7097919583320618,0.5184999704360962,nan,nan
15,0.6137137413024902,0.3024604320526123,0.5343743562698364,0.37741705775260925,0.5711873769760132,0.6021421551704407,0.38227126002311707,0.34598949551582336,0.6686999797821045,nan,0.5644000172615051,nan,0.7227025628089905,0.545799970626831,nan,nan
16,0.6180780529975891,0.2994069457054138,0.5451050996780396,0.3715934157371521,0.5647506713867188,0.6247247457504272,0.3733508586883545,0.34084150195121765,0.6687999963760376,nan,0.5544999837875366,nan,0.6909207105636597,0.5424000024795532,nan,nan
17,0.6224624514579773,0.29801008105278015,0.5496496558189392,0.36875131726264954,0.5587499141693115,0.6346145868301392,0.36864617466926575,0.33811065554618835,0.6704000234603882,nan,0.5745999813079834,nan,0.6832703351974487,0.542900025844574,nan,nan
18,0.6240040063858032,0.2975442707538605,0.5545945763587952,0.36724618077278137,0.5556390285491943,0.6448648571968079,0.3632407784461975,0.3366491496562958,0.6506999731063843,nan,0.5634999871253967,nan,0.6720065474510193,0.5485000014305115,nan,nan
19,0.625465452671051,0.2954193651676178,0.5598598718643188,0.3633340895175934,0.5529714822769165,0.6574174165725708,0.3576633334159851,0.3331952691078186,0.6661999821662903,nan,0.5722000002861023,nan,0.6755918264389038,0.555899977684021,nan,nan
20,0.6286486387252808,0.29395270347595215,0.5680881142616272,0.35987749695777893,0.5465824604034424,0.6670070290565491,0.352315753698349,0.33024701476097107,0.6801000237464905,nan,0.5830000042915344,nan,0.6571568250656128,0.5529000163078308,nan,nan
21,0.6269069314002991,0.2934742271900177,0.5709509253501892,0.3579811453819275,0.5436614155769348,0.6765965819358826,0.3489561378955841,0.32865819334983826,0.6772000193595886,nan,0.5831999778747559,nan,0.6793867945671082,0.5605999827384949,nan,nan
22,0.6342342495918274,0.2914028465747833,0.5746546387672424,0.35587289929389954,0.5427336096763611,0.6870670914649963,0.342881977558136,0.3259900212287903,0.6711000204086304,nan,0.579200029373169,nan,0.6492727994918823,0.5640000104904175,nan,nan
