epoch,Coarse1_prediction_output_layer_accuracy,Coarse1_prediction_output_layer_loss,Coarse2_prediction_output_layer_accuracy,Coarse2_prediction_output_layer_loss,Final_output_loss,Fine_prediction_output_layer_accuracy,Fine_prediction_output_layer_loss,loss,val_Coarse1_prediction_output_layer_accuracy,val_Coarse1_prediction_output_layer_loss,val_Coarse2_prediction_output_layer_accuracy,val_Coarse2_prediction_output_layer_loss,val_Final_output_loss,val_Fine_prediction_output_layer_accuracy,val_Fine_prediction_output_layer_loss,val_loss
0,0.8371999859809875,0.2437943071126938,0.7720166444778442,0.24261321127414703,0.8270534873008728,0.6581000089645386,0.31808626651763916,0.2603234350681305,0.9276000261306763,0.22385691106319427,0.43470001220703125,0.4051836431026459,1.0001120567321777,0.3644999861717224,0.436903715133667,0.33214297890663147
1,0.9616166949272156,0.06809276342391968,0.8636500239372253,0.13365651667118073,0.8257750272750854,0.7691666483879089,0.2062256932258606,0.13743212819099426,0.9883999824523926,0.051579929888248444,0.8230999708175659,0.175726518034935,1.0000923871994019,0.8137000203132629,0.17535175383090973,0.13598912954330444
2,0.9663833379745483,0.05349687486886978,0.8807500004768372,0.1214468851685524,0.8265653252601624,0.8044833540916443,0.18395109474658966,0.1397777795791626,0.9900000095367432,0.018377386033535004,0.9162999987602234,0.06677917391061783,1.0002022981643677,0.8571000099182129,0.11579468101263046,0.08207615464925766
3,0.9680500030517578,0.051815666258335114,0.8901500105857849,0.11573877185583115,0.8266737461090088,0.8221333622932434,0.17238278687000275,0.13143235445022583,0.9907000064849854,0.026862213388085365,0.9284999966621399,0.06328601390123367,1.0000494718551636,0.8722000122070312,0.10348661988973618,0.07600073516368866
4,0.9705166816711426,0.05027953162789345,0.8964166641235352,0.11067039519548416,0.820152759552002,0.832966685295105,0.16391852498054504,0.1248227208852768,0.9901999831199646,0.018530629575252533,0.9330000281333923,0.0576176755130291,0.9314532279968262,0.8694999814033508,0.10545721650123596,0.07283388078212738
5,0.9702833294868469,0.048084601759910583,0.9022666811943054,0.10648190230131149,0.5778550505638123,0.8402000069618225,0.15778802335262299,0.1201525628566742,0.9927999973297119,0.027776459231972694,0.9283000230789185,0.059011828154325485,0.5764496326446533,0.8618999719619751,0.10793646425008774,0.0758606418967247
6,0.9722166657447815,0.04910678043961525,0.9049999713897705,0.1050170511007309,0.4349822998046875,0.8481666445732117,0.1540074199438095,0.11749217659235,0.9926999807357788,0.019370539113879204,0.9381999969482422,0.05140053853392601,0.4892909526824951,0.8895999789237976,0.0914321020245552,0.06389596313238144
7,0.972599983215332,0.048821598291397095,0.9071166515350342,0.10282661765813828,0.3884570896625519,0.8510500192642212,0.1505023092031479,0.11507508158683777,0.9936000108718872,0.017946366220712662,0.9409000277519226,0.048168428242206573,0.4536212980747223,0.8968999981880188,0.08570108562707901,0.059852611273527145
8,0.974216639995575,0.046196892857551575,0.9105166792869568,0.1006140187382698,0.355478972196579,0.8559666872024536,0.14760416746139526,0.11244480311870575,0.9936000108718872,0.014141565188765526,0.9440000057220459,0.046373628079891205,0.4200547933578491,0.8982999920845032,0.0846303254365921,0.05801583081483841
9,0.9750166535377502,0.045081473886966705,0.914733350276947,0.0988837331533432,0.32731887698173523,0.8609166741371155,0.14412933588027954,0.11033911257982254,0.9930999875068665,0.014778845012187958,0.9480999708175659,0.045345086604356766,0.3986835479736328,0.897599995136261,0.0808773934841156,0.05625428631901741
10,0.9733333587646484,0.054708220064640045,0.9091166853904724,0.10558746755123138,0.3189568817615509,0.8553500175476074,0.1519855409860611,0.11802726238965988,0.9898999929428101,0.058358997106552124,0.9383999705314636,0.051829639822244644,0.40256133675575256,0.8827999830245972,0.09576049447059631,0.07230185717344284
11,0.9737499952316284,0.05071738362312317,0.9117000102996826,0.10193071514368057,0.3091050982475281,0.861383318901062,0.143742635846138,0.11195047199726105,0.9933000206947327,0.053038258105516434,0.9350000023841858,0.05968499183654785,0.3992941975593567,0.8980000019073486,0.08198239654302597,0.0684378519654274
12,0.9747166633605957,0.04520276561379433,0.9171666502952576,0.0969608798623085,0.29905450344085693,0.869866669178009,0.13885481655597687,0.10660665482282639,0.9940000176429749,0.0136458370834589,0.9485999941825867,0.04255618900060654,0.37318238615989685,0.9003000259399414,0.07978039234876633,0.05397198349237442
13,0.9756166934967041,0.043635182082653046,0.9195333123207092,0.09461595863103867,0.29030293226242065,0.8712166547775269,0.1369263231754303,0.1043107882142067,0.9944000244140625,0.0129996994510293,0.9480000138282776,0.04186061769723892,0.36787524819374084,0.899399995803833,0.08101464807987213,0.05394040420651436
14,0.9757833480834961,0.042558301240205765,0.9223333597183228,0.09355800598859787,0.2848329544067383,0.8753499984741211,0.13471242785453796,0.10308031737804413,0.9939000010490417,0.011759800836443901,0.951200008392334,0.0400322861969471,0.3591201603412628,0.9093000292778015,0.07197827100753784,0.04935859888792038
15,0.977316677570343,0.04133030027151108,0.9247499704360962,0.09170021861791611,0.27952805161476135,0.8773166537284851,0.13288317620754242,0.10109206289052963,0.9943000078201294,0.011656547896564007,0.9520000219345093,0.038863684982061386,0.3522995710372925,0.9107000231742859,0.07145675271749496,0.048494771122932434
16,0.9768666625022888,0.04116246849298477,0.925266683101654,0.09166650474071503,0.2744472622871399,0.880383312702179,0.1313421130180359,0.10092417150735855,0.995199978351593,0.010914203710854053,0.9534000158309937,0.03953622654080391,0.3567018210887909,0.9146000146865845,0.07011774927377701,0.04842359572649002
17,0.9769166707992554,0.04111505672335625,0.9258999824523926,0.09055405110120773,0.27225905656814575,0.8820499777793884,0.1297818422317505,0.09929189085960388,0.9954000115394592,0.008515920490026474,0.951200008392334,0.03814005106687546,0.34447935223579407,0.9115999937057495,0.06948071718215942,0.046844325959682465
18,0.9781000018119812,0.03962729871273041,0.928849995136261,0.08898651599884033,0.26830554008483887,0.8829666376113892,0.12849590182304382,0.09772300720214844,0.994700014591217,0.010811069048941135,0.9527000188827515,0.037008728832006454,0.34351295232772827,0.9164999723434448,0.06751176714897156,0.04583421349525452
19,0.9779000282287598,0.04000135883688927,0.9282333254814148,0.08882356435060501,0.26609671115875244,0.8847500085830688,0.12789706885814667,0.09800656139850616,0.995199978351593,0.008529421873390675,0.9538999795913696,0.038085900247097015,0.33960428833961487,0.9164000153541565,0.06692206859588623,0.04600760340690613
20,0.9781000018119812,0.039163462817668915,0.9305833578109741,0.08700917661190033,0.26416268944740295,0.8865500092506409,0.1257162094116211,0.09587739408016205,0.9952999949455261,0.008866646327078342,0.9564999938011169,0.036157116293907166,0.34643203020095825,0.920199990272522,0.06692464649677277,0.04506758973002434
21,0.9779499769210815,0.039340559393167496,0.9300500154495239,0.08694473654031754,0.26057955622673035,0.8865166902542114,0.12510788440704346,0.0956147313117981,0.9945999979972839,0.008464439772069454,0.9556999802589417,0.035337988287210464,0.33411508798599243,0.920199990272522,0.06570982187986374,0.044162604957818985
22,0.9801333546638489,0.03912360966205597,0.9321666955947876,0.08691016584634781,0.25931641459465027,0.8899333477020264,0.12441173195838928,0.09517647325992584,0.9955999851226807,0.00702616898342967,0.9584000110626221,0.03420450538396835,0.33209556341171265,0.9180999994277954,0.06518732756376266,0.043177202343940735
23,0.9787499904632568,0.03867265582084656,0.9329500198364258,0.08524917811155319,0.2578546404838562,0.890999972820282,0.12280111014842987,0.09440498799085617,0.9952999949455261,0.009091097861528397,0.9563999772071838,0.035934895277023315,0.3322989344596863,0.9204999804496765,0.06410190463066101,0.04416355490684509
24,0.9799000024795532,0.03803225979208946,0.9332333207130432,0.08501345664262772,0.25582659244537354,0.8915500044822693,0.12173247337341309,0.09305153787136078,0.9948999881744385,0.0076433769427239895,0.9569000005722046,0.034340813755989075,0.330523818731308,0.9225000143051147,0.06278324127197266,0.04228264093399048
25,0.9799833297729492,0.03760620206594467,0.9355166554450989,0.08400557935237885,0.2544710636138916,0.8951166868209839,0.12104060500860214,0.09273278713226318,0.9958000183105469,0.007064297329634428,0.9611999988555908,0.031944453716278076,0.3258039653301239,0.9203000068664551,0.06297320872545242,0.04159179702401161
26,0.9801666736602783,0.03864193707704544,0.9359166622161865,0.08400553464889526,0.25280988216400146,0.8928666710853577,0.12072646617889404,0.09250878542661667,0.9962000250816345,0.005934165325015783,0.9610999822616577,0.0326484851539135,0.3259604573249817,0.9236000180244446,0.061647679656744,0.040952183306217194
27,0.9787999987602234,0.03819632902741432,0.9354333281517029,0.08365623652935028,0.2508816421031952,0.894266664981842,0.12047512829303741,0.09255001693964005,0.9965999722480774,0.005777769722044468,0.958899974822998,0.032164037227630615,0.3251625597476959,0.9236000180244446,0.061125025153160095,0.040769945830106735
28,0.9804333448410034,0.038251880556344986,0.937583327293396,0.08344119787216187,0.2516172230243683,0.8976500034332275,0.11890909820795059,0.09100820124149323,0.9958000183105469,0.009255032055079937,0.9587000012397766,0.03371969982981682,0.33250996470451355,0.9247999787330627,0.06133924052119255,0.04155150055885315
29,0.9805333614349365,0.038034506142139435,0.9369500279426575,0.08307962864637375,0.2505086064338684,0.8977166414260864,0.1186443492770195,0.09114410728216171,0.9958999752998352,0.00598704069852829,0.9613999724388123,0.03282422572374344,0.328352689743042,0.9225999712944031,0.061564721167087555,0.041012611240148544
30,0.9816166758537292,0.03758351877331734,0.9394333362579346,0.08181386440992355,0.24804151058197021,0.8981166481971741,0.1176576167345047,0.09013822674751282,0.9962999820709229,0.005476309917867184,0.9616000056266785,0.030538683757185936,0.3204892575740814,0.9261999726295471,0.05952286347746849,0.03911418467760086
31,0.9801333546638489,0.036951541900634766,0.9388833045959473,0.08133114874362946,0.2470623403787613,0.9017166495323181,0.11627420783042908,0.08981253206729889,0.9962999820709229,0.005730228032916784,0.9620000123977661,0.030814243480563164,0.32025012373924255,0.9262999892234802,0.059410132467746735,0.03963083028793335
