epoch,Coarse_prediction_output_layer_accuracy,Coarse_prediction_output_layer_loss,Final_output_loss,Fine_prediction_output_layer_accuracy,Fine_prediction_output_layer_loss,Medium_prediction_output_layer_accuracy,Medium_prediction_output_layer_loss,loss,val_Coarse_prediction_output_layer_accuracy,val_Coarse_prediction_output_layer_loss,val_Final_output_loss,val_Fine_prediction_output_layer_accuracy,val_Fine_prediction_output_layer_loss,val_Medium_prediction_output_layer_accuracy,val_Medium_prediction_output_layer_loss,val_loss
28,0.9292373657226562,0.07227146625518799,0.5221210718154907,0.9484235048294067,0.09655112773180008,0.871618926525116,0.10323590040206909,0.09082280099391937,0.9383000135421753,0.04859922453761101,0.6837589740753174,0.9002000093460083,0.07653763890266418,0.8647000193595886,0.07457412779331207,0.06538957357406616
29,0.9301976561546326,0.07221072167158127,0.5220996141433716,0.9506841897964478,0.09531810134649277,0.8760603666305542,0.10162441432476044,0.0898972824215889,0.9366000294685364,0.048231810331344604,0.6779101490974426,0.9047999978065491,0.07416417449712753,0.8644000291824341,0.0749666839838028,0.06513097882270813
30,0.9306178092956543,0.07159571349620819,0.5196659564971924,0.9532650709152222,0.09409643709659576,0.8776808381080627,0.10109850019216537,0.08908803761005402,0.9359999895095825,0.04824357479810715,0.6755630970001221,0.9067999720573425,0.07158063352108002,0.8640999794006348,0.07003208994865417,0.062266480177640915
31,0.9314180612564087,0.07129646092653275,0.5160131454467773,0.9522847533226013,0.09424258023500443,0.8751600384712219,0.10107605159282684,0.08890378475189209,0.9373000264167786,0.0485287643969059,0.6866387128829956,0.9017999768257141,0.0747656524181366,0.8632000088691711,0.07363270223140717,0.06444787234067917
32,0.9329385161399841,0.07049068063497543,0.5115972757339478,0.9538252353668213,0.09307538717985153,0.8800816535949707,0.09942857176065445,0.08785200119018555,0.9365000128746033,0.04801861569285393,0.6573012471199036,0.9017000198364258,0.07405047863721848,0.8705999851226807,0.07293394953012466,0.06399524211883545
33,0.9326784610748291,0.07046230137348175,0.5068732500076294,0.9551456570625305,0.09231416881084442,0.8809219002723694,0.09776388108730316,0.08682416379451752,0.9429000020027161,0.04565518721938133,0.6588091850280762,0.9077000021934509,0.07145865261554718,0.8795999884605408,0.0730326771736145,0.06268998980522156
34,0.9342389702796936,0.06967923045158386,0.5047428607940674,0.9552856683731079,0.09188981354236603,0.881502091884613,0.09793124347925186,0.08646050095558167,0.941100001335144,0.04666297882795334,0.6602168083190918,0.9088000059127808,0.07048460841178894,0.8664000034332275,0.06925378739833832,0.06103598698973656
35,0.9347190856933594,0.06943301856517792,0.501508355140686,0.9549455642700195,0.09225354343652725,0.8826224207878113,0.09806174039840698,0.08659743517637253,0.9380999803543091,0.04731544852256775,0.6593398451805115,0.9072999954223633,0.07136396318674088,0.8722000122070312,0.06921722739934921,0.06148834154009819
36,0.9344590306282043,0.06916981190443039,0.4944976270198822,0.956506073474884,0.09111559391021729,0.881502091884613,0.09711815416812897,0.0858817771077156,0.9368000030517578,0.04827240854501724,0.6508901119232178,0.9046000242233276,0.07262733578681946,0.8772000074386597,0.06643668562173843,0.06069592759013176
37,0.9348191618919373,0.06906639039516449,0.4955926537513733,0.9542453289031982,0.09153075516223907,0.8810819387435913,0.09840509295463562,0.08652476966381073,0.9401999711990356,0.04672597721219063,0.6473073363304138,0.9070000052452087,0.07059502601623535,0.8776000142097473,0.06962350755929947,0.06133214011788368
38,0.9357794523239136,0.06870952248573303,0.4920857846736908,0.9560059309005737,0.0906447097659111,0.883762776851654,0.09637904167175293,0.08537700772285461,0.9373999834060669,0.047942399978637695,0.6466608643531799,0.9054999947547913,0.07129760831594467,0.8672000169754028,0.06666756421327591,0.060566820204257965
39,0.9371998906135559,0.0685180202126503,0.4899834990501404,0.9578065276145935,0.08954830467700958,0.8865236639976501,0.09543546289205551,0.0846346840262413,0.9409999847412109,0.04597822576761246,0.648034393787384,0.9075999855995178,0.07081093639135361,0.8823000192642212,0.06685715168714523,0.05978671833872795
40,0.9365997314453125,0.06793749332427979,0.49064263701438904,0.9575064182281494,0.0901508778333664,0.8852832913398743,0.09578562527894974,0.08464304357767105,0.9375,0.04802076518535614,0.644642174243927,0.9083999991416931,0.06901844590902328,0.8801000118255615,0.06693818420171738,0.06032200902700424
41,0.9372799396514893,0.06784829497337341,0.4897415339946747,0.9561659693717957,0.08987352252006531,0.8814020752906799,0.09606064110994339,0.08471035212278366,0.9406999945640564,0.04414503276348114,0.6401961445808411,0.9106000065803528,0.06912212073802948,0.8795999884605408,0.06852643191814423,0.059633947908878326
42,0.9380601644515991,0.06725892424583435,0.48914405703544617,0.9578865170478821,0.08898423612117767,0.8867437839508057,0.09454252570867538,0.083897665143013,0.9415000081062317,0.04503481462597847,0.6398600935935974,0.9072999954223633,0.07086308300495148,0.8805999755859375,0.06839941442012787,0.06038798391819
43,0.9370598793029785,0.06806238740682602,0.48395219445228577,0.9570662379264832,0.08962858468294144,0.8848631381988525,0.09509695321321487,0.08435503393411636,0.9398000240325928,0.04611117020249367,0.6439423561096191,0.9103999733924866,0.06845618784427643,0.8712999820709229,0.06653019040822983,0.059380751103162766
44,0.937760055065155,0.06850332021713257,0.4816437363624573,0.9586668014526367,0.08929778635501862,0.8853433132171631,0.09533269703388214,0.08459457755088806,0.9406999945640564,0.04506454989314079,0.6357244253158569,0.9059000015258789,0.07112188637256622,0.8805999755859375,0.06770661473274231,0.05992323160171509
45,0.9394806623458862,0.06659319251775742,0.4813995957374573,0.9603472948074341,0.0880683958530426,0.8898647427558899,0.09362611174583435,0.08289504051208496,0.9377999901771545,0.04774180427193642,0.6421561241149902,0.911300003528595,0.06932459771633148,0.8766999840736389,0.06610964983701706,0.05990095064043999
46,0.9387603998184204,0.06742438673973083,0.4786713123321533,0.9564660787582397,0.08931173384189606,0.8866837620735168,0.09457983821630478,0.08376342803239822,0.9426000118255615,0.04463081806898117,0.6419327259063721,0.9101999998092651,0.06869758665561676,0.8780999779701233,0.06794311851263046,0.05947490409016609
47,0.937700092792511,0.06813352555036545,0.4828701317310333,0.9590669274330139,0.08900410681962967,0.8886843919754028,0.09441377967596054,0.08405734598636627,0.9444000124931335,0.043780501931905746,0.6473336219787598,0.9121999740600586,0.06843254715204239,0.879800021648407,0.06723392754793167,0.05895327776670456
48,0.9394406080245972,0.06685984134674072,0.4800441563129425,0.9581266045570374,0.08851335197687149,0.8914452791213989,0.09401903301477432,0.0830741599202156,0.9437000155448914,0.04431082308292389,0.6415884494781494,0.911300003528595,0.06815499812364578,0.8748999834060669,0.06674803048372269,0.058627575635910034
49,0.9413812160491943,0.06638097018003464,0.47888362407684326,0.9595870971679688,0.08817073702812195,0.8888444304466248,0.09373440593481064,0.08276349306106567,0.9444000124931335,0.04383278638124466,0.6372193098068237,0.911300003528595,0.0676913931965828,0.878000020980835,0.06665604561567307,0.05841610208153725
50,0.9398007392883301,0.06642691791057587,0.4762111306190491,0.9596871137619019,0.08797743916511536,0.8873039484024048,0.09365349262952805,0.08301306515932083,0.9430000185966492,0.04446951299905777,0.628097653388977,0.9100000262260437,0.06849709153175354,0.878000020980835,0.06743153184652328,0.05936650559306145
51,0.9395206570625305,0.06659024208784103,0.4698716998100281,0.9586668014526367,0.08794713765382767,0.8881242275238037,0.09308655560016632,0.0826978087425232,0.9370999932289124,0.04889926314353943,0.6250783205032349,0.9110000133514404,0.06799609214067459,0.8801000118255615,0.06565001606941223,0.05998382717370987
