epoch,Coarse_prediction_output_layer_accuracy,Coarse_prediction_output_layer_loss,Final_output_loss,Fine_prediction_output_layer_accuracy,Fine_prediction_output_layer_loss,loss,val_Coarse_prediction_output_layer_accuracy,val_Coarse_prediction_output_layer_loss,val_Final_output_loss,val_Fine_prediction_output_layer_accuracy,val_Fine_prediction_output_layer_loss,val_loss
0,0.8122960329055786,0.16744209825992584,0.20129893720149994,0.745486319065094,0.24877864122390747,0.1708626002073288,0.8186702132225037,0.13587439060211182,0.09240588545799255,0.8369680643081665,0.17763151228427887,0.13762496411800385
1,0.861547589302063,0.10068464279174805,0.08232655376195908,0.8385800719261169,0.16192509233951569,0.1040145754814148,0.8740957379341125,0.0898437350988388,0.08621280640363693,0.8657447099685669,0.13436786830425262,0.09226956963539124
2,0.8735013604164124,0.09088945388793945,0.07978209108114243,0.859844982624054,0.13329322636127472,0.09288722276687622,0.8850532174110413,0.08108018338680267,0.08437804132699966,0.8644680976867676,0.12648847699165344,0.08322709053754807
3,0.8804270625114441,0.08490119874477386,0.07830061763525009,0.8689433336257935,0.11972349137067795,0.08646496385335922,0.868882954120636,0.08681050688028336,0.08400200307369232,0.8678723573684692,0.11979416757822037,0.08829338848590851
4,0.8871133923530579,0.07966352999210358,0.07675863802433014,0.8760375380516052,0.11033719778060913,0.08102826774120331,0.8911702036857605,0.07279713451862335,0.0821446031332016,0.8822340369224548,0.10093683749437332,0.07405512034893036
5,0.8908466696739197,0.07632298767566681,0.07545901089906693,0.8800634741783142,0.10400322824716568,0.07755764573812485,0.8719680905342102,0.08472662419080734,0.08189132064580917,0.8740957379341125,0.1098940446972847,0.08584819734096527
6,0.8946598172187805,0.07369567453861237,0.07415113598108292,0.8833357095718384,0.09845366328954697,0.0748012587428093,0.9046808481216431,0.06730476021766663,0.08041973412036896,0.876329779624939,0.10584437102079391,0.06903191655874252
7,0.8989429473876953,0.07060481607913971,0.07296871393918991,0.8874059915542603,0.09442715346813202,0.07167761772871017,0.8903723359107971,0.07625294476747513,0.07908400148153305,0.8801063895225525,0.09790218621492386,0.07722822576761246
8,0.9030842185020447,0.06810964643955231,0.07196230441331863,0.8901904821395874,0.09026854485273361,0.06911409646272659,0.8974468111991882,0.06805773824453354,0.07738499343395233,0.8819149136543274,0.09641704708337784,0.06934545189142227
9,0.9051415324211121,0.06610452383756638,0.07101219892501831,0.8922034502029419,0.0877433717250824,0.06710181385278702,0.9089361429214478,0.0633232444524765,0.07673852890729904,0.8859574198722839,0.08986228704452515,0.06455006450414658
10,0.9088571071624756,0.0638120248913765,0.07022382318973541,0.8954756855964661,0.08479314297437668,0.06478256732225418,0.9085106253623962,0.0635257437825203,0.07608436793088913,0.8851063847541809,0.0920504629611969,0.06484709680080414
11,0.9109410643577576,0.06263706088066101,0.06904827803373337,0.8963978886604309,0.08261414617300034,0.06356937438249588,0.9113829731941223,0.05950899049639702,0.07368891686201096,0.8771808743476868,0.09901002049446106,0.0613531619310379
12,0.9129008054733276,0.060354359447956085,0.06742656975984573,0.8984818458557129,0.08076435327529907,0.06132008507847786,0.9007978439331055,0.07867439091205597,0.0745154321193695,0.8864361643791199,0.09224840253591537,0.07931225001811981
13,0.916572093963623,0.05716191604733467,0.06635673344135284,0.9007963538169861,0.07800794392824173,0.058151084929704666,0.9169681072235107,0.05466402694582939,0.07179473340511322,0.8884042501449585,0.08488726615905762,0.05610005557537079
